"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 12 11:38:02 GMT 2025","Mon May 12 11:38:03 GMT 2025","1588","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [10] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/infinite-scroll.html, Infinite scroll, Infinite scroll, FALSE",""
"broken","Mon May 12 11:36:34 GMT 2025","Mon May 12 11:36:36 GMT 2025","1664","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [6] Chapter 3. WebDriver Fundamentals, https://bonigarcia.dev/selenium-webdriver-java/draw-in-canvas.html, Draw in canvas",""
"broken","Mon May 12 11:38:24 GMT 2025","Mon May 12 11:38:25 GMT 2025","1622","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [25] Chapter 9. Third-Party Integrations, https://bonigarcia.dev/selenium-webdriver-java/download.html, Download files, Download files, FALSE",""
"passed","Mon May 12 11:38:35 GMT 2025","Mon May 12 11:38:35 GMT 2025","509","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [13] Chapter 4. Browser-Agnostic Features",""
"broken","Mon May 12 11:37:03 GMT 2025","Mon May 12 11:37:05 GMT 2025","1617","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [25] Chapter 9. Third-Party Integrations, https://bonigarcia.dev/selenium-webdriver-java/download.html, Download files",""
"broken","Mon May 12 11:38:20 GMT 2025","Mon May 12 11:38:22 GMT 2025","1611","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [23] Chapter 7. The Page Object Model (POM), https://bonigarcia.dev/selenium-webdriver-java/login-slow.html, Slow login, Slow login form, FALSE",""
"broken","Mon May 12 11:37:02 GMT 2025","Mon May 12 11:37:03 GMT 2025","1609","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [24] Chapter 8. Testing Framework Specifics, https://bonigarcia.dev/selenium-webdriver-java/random-calculator.html, Random calculator",""
"passed","Mon May 12 11:38:35 GMT 2025","Mon May 12 11:38:36 GMT 2025","490","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [14] Chapter 4. Browser-Agnostic Features",""
"broken","Mon May 12 11:37:43 GMT 2025","Mon May 12 11:37:44 GMT 2025","1616","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [24] Chapter 8. Testing Framework Specifics, https://bonigarcia.dev/selenium-webdriver-java/random-calculator.html, Random calculator, Random calculator, FALSE",""
"passed","Mon May 12 11:36:39 GMT 2025","Mon May 12 11:36:40 GMT 2025","658","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [9] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/long-page.html, Long page",""
"passed","Mon May 12 11:38:32 GMT 2025","Mon May 12 11:38:32 GMT 2025","493","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [7] Chapter 3. WebDriver Fundamentals",""
"passed","Mon May 12 11:38:33 GMT 2025","Mon May 12 11:38:33 GMT 2025","572","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [9] Chapter 4. Browser-Agnostic Features",""
"broken","Mon May 12 11:37:44 GMT 2025","Mon May 12 11:37:46 GMT 2025","1594","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [25] Chapter 9. Third-Party Integrations, https://bonigarcia.dev/selenium-webdriver-java/download.html, Download files, Download files, FALSE",""
"passed","Mon May 12 11:38:31 GMT 2025","Mon May 12 11:38:32 GMT 2025","501","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [6] Chapter 3. WebDriver Fundamentals",""
"broken","Mon May 12 11:36:52 GMT 2025","Mon May 12 11:36:54 GMT 2025","1617","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [18] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/notifications.html, Notifications",""
"broken","Mon May 12 11:36:38 GMT 2025","Mon May 12 11:36:39 GMT 2025","1631","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [8] Chapter 3. WebDriver Fundamentals, https://bonigarcia.dev/selenium-webdriver-java/slow-calculator.html, Slow calculator",""
"broken","Mon May 12 11:37:41 GMT 2025","Mon May 12 11:37:43 GMT 2025","1574","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [23] Chapter 7. The Page Object Model (POM), https://bonigarcia.dev/selenium-webdriver-java/login-slow.html, Slow login, Slow login form, FALSE",""
"passed","Mon May 12 11:38:29 GMT 2025","Mon May 12 11:38:29 GMT 2025","509","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [1] Chapter 3. WebDriver Fundamentals",""
"passed","Mon May 12 11:38:29 GMT 2025","Mon May 12 11:38:30 GMT 2025","486","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [2] Chapter 3. WebDriver Fundamentals",""
"broken","Mon May 12 11:36:55 GMT 2025","Mon May 12 11:36:57 GMT 2025","1603","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [20] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/multilanguage.html, Multilanguage",""
"broken","Mon May 12 11:38:25 GMT 2025","Mon May 12 11:38:27 GMT 2025","1589","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [26] Chapter 9. Third-Party Integrations, https://bonigarcia.dev/selenium-webdriver-java/ab-testing.html, A/B Testing, A/B Testing, FALSE",""
"broken","Mon May 12 11:37:38 GMT 2025","Mon May 12 11:37:40 GMT 2025","1606","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [21] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/console-logs.html, Console logs, Console logs, FALSE",""
